Student_ID,Pre_Test_Score,Post_Test_Score
255,44.8,51.5
256,55.2,58.1
257,72.7,75.2
258,52.9,55.8
259,64.4,71.4
260,67.7,70.6
261,50.7,57.2
262,59.4,74.8
263,27.6,36.9
264,49.8,53.1
265,57.5,68.5
266,47.5,50.5
267,76.3,71.1
268,45.7,45.7
269,55.6,51.2
270,61.3,64.5
271,74.4,79.5
272,45.6,59.0
273,71.6,78.3
274,60.1,64.0
275,50.2,59.3
276,64.6,58.6
277,62.0,68.2
278,54.0,62.9
279,60.7,58.3
280,56.1,66.9
281,61.1,67.8
282,66.6,69.5
283,75.9,84.0
284,47.6,64.0
285,81.3,87.2
286,40.5,46.7
287,58.5,61.2
288,65.9,66.6
289,62.8,72.0
290,53.8,54.5
291,57.9,63.3
292,55.1,57.7
293,54.1,61.5
294,68.5,75.2
295,63.6,73.8
296,53.1,55.5
297,69.0,72.6
298,63.1,63.2
299,68.1,70.9
300,66.3,73.2
